source,target,edge_type,decision_date,fine_amount
Spanish Agency for Data Protection,Spain_381,decided_by,,0.0
Spanish Agency for Data Protection,Spain_383,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_388,decided_by,,5000.0
Spanish Agency for Data Protection,Spain_385,decided_by,,6000.0
Spanish Agency for Data Protection,Spain_386,decided_by,,50000.0
Spanish Agency for Data Protection,Spain_391,decided_by,,1200.0
Spanish Agency for Data Protection,Spain_392,decided_by,,36000.0
Spanish Agency for Data Protection,Spain_393,decided_by,,100000.0
Spanish Agency for Data Protection,Spain_394,decided_by,,0.0
Spanish Agency for Data Protection,Spain_396,decided_by,,1500.0
Spanish Agency for Data Protection,Spain_395,decided_by,,80000.0
Spanish Agency for Data Protection,Spain_400,decided_by,,50000.0
Spanish Agency for Data Protection,Spain_399,decided_by,,12000.0
Spanish Agency for Data Protection,Spain_405,decided_by,,15000.0
Spanish Agency for Data Protection,Spain_403,decided_by,,75000.0
Spanish Agency for Data Protection,Spain_408,decided_by,,5000.0
Spanish Agency for Data Protection,Spain_411,decided_by,,4000.0
Spanish Agency for Data Protection,Spain_415,decided_by,,50000.0
Spanish Agency for Data Protection,Spain_414,decided_by,,0.0
Spanish Agency for Data Protection,Spain_416,decided_by,,5000.0
Spanish Agency for Data Protection,Spain_419,decided_by,,12000.0
Spanish Agency for Data Protection,Spain_421,decided_by,,20000.0
Spanish Agency for Data Protection,Spain_420,decided_by,2021-11-13 00:00:00+00:00,50000.0
Spanish Agency for Data Protection,Spain_422,decided_by,,15000.0
Spanish Agency for Data Protection,Spain_423,decided_by,,40000.0
Spanish Agency for Data Protection,Spain_425,decided_by,,2000000.0
Spanish Agency for Data Protection,Spain_428,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_429,decided_by,,0.0
Spanish Agency for Data Protection,Spain_431,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_435,decided_by,,1500.0
Spanish Agency for Data Protection,Spain_433,decided_by,,1000.0
Spanish Agency for Data Protection,Spain_434,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_440,decided_by,,9000.0
Spanish Agency for Data Protection,Spain_437,decided_by,,0.0
Spanish Agency for Data Protection,Spain_441,decided_by,,70000.0
Spanish Agency for Data Protection,Spain_439,decided_by,,1200.0
Spanish Agency for Data Protection,Spain_443,decided_by,,0.0
Spanish Agency for Data Protection,Spain_442,decided_by,,50000.0
Spanish Agency for Data Protection,Spain_446,decided_by,,0.0
Spanish Agency for Data Protection,Spain_449,decided_by,,30000.0
Spanish Agency for Data Protection,Spain_451,decided_by,,36000.0
Spanish Agency for Data Protection,Spain_452,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_450,decided_by,,0.0
Spanish Agency for Data Protection,Spain_453,decided_by,,36000.0
Spanish Agency for Data Protection,Spain_454,decided_by,,30000.0
Spanish Agency for Data Protection,Spain_456,decided_by,,0.0
Spanish Agency for Data Protection,Spain_459,decided_by,,2400.0
Spanish Agency for Data Protection,Spain_458,decided_by,,100000.0
Spanish Agency for Data Protection,Spain_461,decided_by,2020-12-03 00:00:00+00:00,6000.0
Spanish Agency for Data Protection,Spain_466,decided_by,,0.0
Spanish Agency for Data Protection,Spain_467,decided_by,,0.0
Spanish Agency for Data Protection,Spain_462,decided_by,,300000.0
Spanish Agency for Data Protection,Spain_460,decided_by,,6000.0
Spanish Agency for Data Protection,Spain_464,decided_by,,10000.0
Spanish Agency for Data Protection,Spain_465,decided_by,,50000.0
Spanish Agency for Data Protection,Spain_470,decided_by,,4800.0
Spanish Agency for Data Protection,Spain_479,decided_by,,30000.0
Spanish Agency for Data Protection,Spain_472,decided_by,,0.0
Spanish Agency for Data Protection,Spain_473,decided_by,,4000.0
Spanish Agency for Data Protection,Spain_474,decided_by,2021-01-18 00:00:00+00:00,3000.0
Spanish Agency for Data Protection,Spain_480,decided_by,,0.0
Spanish Agency for Data Protection,Spain_481,decided_by,,42000.0
Spanish Agency for Data Protection,Spain_484,decided_by,,1500.0
Spanish Agency for Data Protection,Spain_485,decided_by,,0.0
Spanish Agency for Data Protection,Spain_487,decided_by,,20000.0
Spanish Agency for Data Protection,Spain_483,decided_by,,42000.0
Spanish Agency for Data Protection,Spain_486,decided_by,2021-07-27 00:00:00+00:00,120000.0
Spanish Agency for Data Protection,Spain_490,decided_by,,6000.0
Spanish Agency for Data Protection,Spain_488,decided_by,,0.0
Spanish Agency for Data Protection,Spain_496,decided_by,,0.0
Spanish Agency for Data Protection,Spain_499,decided_by,,0.0
Spanish Agency for Data Protection,Spain_501,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_502,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_505,decided_by,,1500.0
Spanish Agency for Data Protection,Spain_507,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_511,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_514,decided_by,,0.0
Spanish Agency for Data Protection,Spain_513,decided_by,,50000.0
Spanish Agency for Data Protection,Spain_515,decided_by,2020-11-13 00:00:00+00:00,0.0
Spanish Agency for Data Protection,Spain_516,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_522,decided_by,,25000.0
Spanish Agency for Data Protection,Spain_517,decided_by,,1500.0
Spanish Agency for Data Protection,Spain_518,decided_by,,100000.0
Spanish Agency for Data Protection,Spain_521,decided_by,,40000.0
Spanish Agency for Data Protection,Spain_520,decided_by,,54000.0
Spanish Agency for Data Protection,Spain_532,decided_by,,0.0
Spanish Agency for Data Protection,Spain_529,decided_by,,0.0
Spanish Agency for Data Protection,Spain_533,decided_by,,120000.0
Spanish Agency for Data Protection,Spain_534,decided_by,,24000.0
Spanish Agency for Data Protection,Spain_535,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_537,decided_by,,0.0
Spanish Agency for Data Protection,Spain_539,decided_by,,0.0
Spanish Agency for Data Protection,Spain_541,decided_by,,0.0
Spanish Agency for Data Protection,Spain_542,decided_by,,90000.0
Spanish Agency for Data Protection,Spain_543,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_540,decided_by,,0.0
Spanish Agency for Data Protection,Spain_549,decided_by,,0.0
Spanish Agency for Data Protection,Spain_551,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_550,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_552,decided_by,,60000.0
Spanish Agency for Data Protection,Spain_558,decided_by,,0.0
Spanish Agency for Data Protection,Spain_553,decided_by,,1500.0
Spanish Agency for Data Protection,Spain_554,decided_by,,50000.0
Spanish Agency for Data Protection,Spain_555,decided_by,,4000.0
Spanish Agency for Data Protection,Spain_556,decided_by,,16000.0
Spanish Agency for Data Protection,Spain_559,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_557,decided_by,,150000.0
Spanish Agency for Data Protection,Spain_562,decided_by,,8000.0
Spanish Agency for Data Protection,Spain_561,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_563,decided_by,2021-03-09 00:00:00+00:00,60000.0
