source_id,target_id,distance,weight,match_rank,match_type,stratum_key,source_country,target_country
Ireland_34,Ireland_29,0.16666666666666666,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_34,Ireland_10,0.1875,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_34,Ireland_17,0.19444444444444445,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_41,Ireland_28,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_41,Ireland_20,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_41,Ireland_22,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_39,Spain_365,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_39,Sweden_46,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_39,Spain_623,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_43,United Kingdom_36,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_43,United Kingdom_63,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_43,Spain_572,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_40,Ireland_28,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_40,Ireland_20,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_40,Ireland_22,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_30,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_30,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_30,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_45,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_45,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_45,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_11,Iceland_100,0.03472222222222222,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_11,Iceland_94,0.16666666666666666,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_11,Iceland_55,0.19444444444444445,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_17,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_17,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_17,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_18,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_18,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_18,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_22,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_22,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_22,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_27,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_27,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_27,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Iceland_28,Iceland_38,0.03472222222222222,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_28,Iceland_72,0.1111111111111111,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_28,Iceland_79,0.16666666666666666,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_33,Iceland_88,0.16666666666666666,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_33,Iceland_84,0.1875,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_33,Iceland_94,0.20138888888888887,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_38,Iceland_28,0.03472222222222222,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_38,Iceland_72,0.07638888888888888,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_38,Iceland_94,0.16666666666666666,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IS,IS
Iceland_47,Iceland_94,0.041666666666666664,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IS,IS
