feature,source,block,feature_type,observed_share,mean,variance,status_discussed,status_not_mentioned,status_not_discussed
raw_q7_TELEF_NICA_DE_ESPA_A_S_A_U,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_TELEF_NICA_DE_ESPA_A_SAU,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_TELEF_NICA_M_VILES_ESPA_A_S_A_U,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_TELEF_NICA_SERVICIOS_INTEGRALES_DE_DISTRIBUCI_N_S_A,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_TERRA_BRASA_Y_MAR_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_TNT_EXPRESS_WORLDWIDE_SPAIN_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_TODOTECNICOS24H_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_TOUR_PEOPLE_MAX_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Tehnoplus_Industry_SRL,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Telef_nica_M_viles_Espa_a_S_A_U,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Telekom_Romania_Communications_SA,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_The_Money_Hive_Limited,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_The_Regional_Board_of_the_Uppsala_Region,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Tiana_City_Council,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Ticketmaster_UK_Limited,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Trionic_Sverige_AB,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Trygg_Hansa_F_rs_kring_branch,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Tuckers_Solicitors_LLP,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Turner_Broadcasting_System_Espa_a_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_UNCLEAR,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_UNIQUE_HOTEL_APARTMENT_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_UNITED_PARCEL_SERVICE_ESPA_A_LTD_AND_COMPA_IA_SRC,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_UNIVERSITAT_POLIT_CNICA_DE_VAL_NCIA,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_UNIVERSITY_OF_NAVARRA,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Uppsalahem_AB,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Urban_Home_Development_S_R_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_V_M_P_Sp_z_o_o,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_VACACIONES_EDREAMS_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_VODAFONE_ESPA_A_S_A_U,raw_q7,Other,categorical,1.0,0.007978723404255319,0.007915063377093709,,,
raw_q7_VODAFONE_ESPA_A_SAU,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_VODAFONE_Romania_S_A,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Virgin_Mobile_Polska_Sp_z_o_o_legal_successor_P4_Sp_z_o_o,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Vodafone_Spain_S_A_U,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Volvo_Personvagnar_AB,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_WALLNER_EUROPA_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_WORKING_CAPITAL_MANAGEMENT_ESPA_A_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_WW_E_SERVICES_IBERIA_S_L_U,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Worldcoin_Foundation,raw_q7,Other,categorical,1.0,0.005319148936170213,0.005290855590765051,,,
raw_q7_XFERA_M_VILES_S_A,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_XFERA_M_VILES_SA,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Your_Consulting_SRL,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_natural_person_operator_doctor,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_the_taxpayer,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
