node,node_type,country,country_group,total_decisions,total_fines_eur,avg_fine_eur,breach_cases,year,quarter,fine_eur,breach_case,severity_measures,n_principles_violated,cross_border
Sweden_57,decision,,,,,,,2023.0,Q2,0.0,False,False,0.0,False
Sweden_52,decision,,,,,,,2022.0,Q3,0.0,False,True,1.0,False
Sweden_51,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_53,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_3,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_2,decision,,,,,,,,,0.0,False,True,1.0,False
Spain_4,decision,,,,,,,,,21000.0,True,True,1.0,False
Spain_6,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_5,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_7,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_8,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_9,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_10,decision,,,,,,,,,0.0,False,True,0.0,False
Spain_12,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_11,decision,,,,,,,,,0.0,True,True,1.0,False
Spain_15,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_13,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_16,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_14,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_17,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_18,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_19,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_20,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_21,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_22,decision,,,,,,,,,0.0,True,False,0.0,False
Spain_25,decision,,,,,,,,,0.0,True,False,0.0,False
Spain_24,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_26,decision,,,,,,,,,0.0,True,False,0.0,False
Spain_27,decision,,,,,,,,,0.0,True,False,0.0,False
Spain_28,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_30,decision,,,,,,,,,0.0,True,True,0.0,False
